Date,Close/Last,Volume,Open,High,Low,sentiment
2017-11-06,20.1853,97210286,20.4667,20.5,19.934,0.1484238219895287
2017-11-07,20.4033,79272620,20.068,20.4333,20.002,0.0867290322580645
2017-11-08,20.2927,70880290,20.3667,20.4593,20.0867,0.0857137651821862
2017-11-09,20.1993,81602554,20.1667,20.2973,19.7533,0.1212518272425249
2017-11-10,20.1993,69316165,20.1667,20.5573,20.1233,0.0823188059701492
2017-11-13,21.0267,113478573,20.0087,21.12,19.9407,0.1067752883031301
2017-11-14,20.58,84928518,21.0,21.09,20.46,0.0889464285714285
2017-11-15,20.7533,89277480,20.4007,20.8327,20.1,0.1261536082474227
2017-11-16,20.8333,86916092,20.9327,21.2093,20.7533,0.1018562616822429
2017-11-17,21.0033,205812347,21.7113,21.778,20.8767,0.1050115598182735
2017-11-20,20.5827,123627253,20.9193,21.0333,20.3167,0.1339275049115913
2017-11-21,21.1873,108845661,20.724,21.2153,20.5807,0.1403005474452554
2017-11-22,20.84,73699208,21.118,21.1613,20.7893,0.1533805128205128
2017-11-24,21.0367,48660951,20.9193,21.094,20.7333,0.1788181818181818
2017-11-27,21.1207,68066651,20.8833,21.156,20.634,0.1791339563862928
2017-11-28,21.17,74125508,21.0907,21.3333,20.928,0.1114312101910827
2017-11-29,20.5027,131361879,21.1533,21.2,20.082,0.0641965601965602
2017-11-30,20.59,65181477,20.5707,20.7133,20.3027,0.0560354929577464
2017-12-01,20.4353,64291198,20.3627,20.688,20.3367,0.1148446564885496
2017-12-04,20.3467,87513361,20.4333,20.551,20.0407,0.1692155844155844
2017-12-05,20.2467,69655585,20.1333,20.5333,20.0667,0.1668740634005763
2017-12-06,20.884,107767101,20.0067,20.8927,20.0,0.1587137566137566
2017-12-07,20.7493,71693814,20.8,21.2423,20.7367,0.2169675
2017-12-08,21.0087,51991294,20.9733,21.132,20.7507,0.1992811475409835
2017-12-11,21.9273,118891291,20.9753,21.934,20.9167,0.1993745575221239
2017-12-12,22.7353,130733485,22.03,22.7627,22.002,0.1496572357723577
2017-12-13,22.602,93265468,22.7287,22.948,22.4333,0.219972236503856
2017-12-14,22.526,86880317,22.734,23.1627,22.46,0.1451336956521739
2017-12-15,22.8967,103818638,22.8027,22.9267,22.384,0.1697757281553397
2017-12-18,22.5913,81998149,22.9933,23.1153,22.5053,0.2234335766423358
2017-12-19,22.0733,102312969,22.684,22.7662,22.02,0.1592581047381546
2017-12-20,21.932,88610626,22.1793,22.2067,21.6693,0.2305270516717325
2017-12-21,22.1107,65549877,21.9727,22.2493,21.814,0.2035185303514377
2017-12-22,21.68,63113998,21.9673,22.0614,21.6547,0.1877010273972602
2017-12-26,21.1527,65530452,21.5887,21.596,21.1053,0.1704334710743801
2017-12-27,20.776,70576225,21.0667,21.1787,20.7167,0.1524995464852608
2017-12-28,21.024,64601158,20.7833,21.0547,20.636,0.1673763473053892
2017-12-29,20.7567,56542532,21.0787,21.094,20.6667,0.2023884615384615
2018-01-02,21.3687,65184192,20.8,21.474,20.7333,0.155604016064257
2018-01-03,21.15,66577767,21.4,21.6833,21.0367,0.0621364035087719
2018-01-04,20.9747,149168820,20.858,21.2367,20.3787,0.0991065637065637
2018-01-05,21.1053,68830886,21.108,21.1493,20.8,0.2396821428571428
2018-01-08,22.4273,147489076,21.0667,22.468,21.0333,0.1515041970802919
2018-01-09,22.246,107017821,22.344,22.5867,21.827,0.0845058823529411
2018-01-10,22.32,64545763,22.1467,22.4667,22.0,0.1580026936026936
2018-01-11,22.53,99612895,22.3493,22.9873,22.2173,0.1639784461152882
2018-01-12,22.4147,72337599,22.5753,22.694,22.2447,0.1796697674418604
2018-01-16,22.6707,96438462,22.5027,23.0,22.32,0.1617714788732394
2018-01-17,23.144,106388257,22.698,23.2667,22.65,0.1372443243243243
2018-01-18,22.9713,85194392,23.0447,23.4867,22.916,0.0656834269662921
2018-01-19,23.3347,73067678,23.0,23.3727,22.84,0.099983628318584
2018-01-22,23.4373,92996609,23.2933,23.8553,23.28,0.122760294117647
2018-01-23,23.5193,81714289,24.0,24.0333,23.4,0.1319516605166051
2018-01-24,23.0593,79160750,23.6387,23.65,22.9013,0.1198831746031746
2018-01-25,22.5093,100878070,23.218,23.28,22.4267,0.0680372596153846
2018-01-26,22.8567,68031821,22.7667,22.9333,22.3807,0.1335747440273037
2018-01-29,23.302,71073084,22.6567,23.39,22.552,0.1202574525745257
2018-01-30,23.0547,70660225,23.0093,23.218,22.8113,0.1372518248175182
2018-01-31,23.6207,92990549,23.1673,23.746,23.0127,0.124025147928994
2018-02-01,23.2833,62811569,23.4,23.9773,23.242,0.1060331491712707
2018-02-02,22.9167,55442327,23.2293,23.4633,22.7007,0.1251147651006711
2018-02-05,22.2087,66617457,22.5313,22.9647,22.2,0.145306015037594
2018-02-06,22.2647,76200442,21.6807,22.4147,21.5667,0.1226431372549019
2018-02-07,23.0,100945180,22.5993,23.0667,22.3773,0.095835777385159
2018-02-08,21.0153,154446223,22.8873,23.2413,20.9733,0.0715582969432314
2018-02-09,20.6947,193866353,21.3287,21.399,19.6507,0.1046255769230769
2018-02-12,21.0487,93367138,21.0753,21.2053,20.4167,0.1729239057239057
2018-02-13,21.5773,68319431,21.0013,21.6127,20.834,0.1178035256410256
2018-02-14,21.4873,59221125,21.3893,21.7447,21.2347,0.1183121874999999
2018-02-15,22.271,88647301,21.6333,22.2747,21.4933,0.0952573643410852
2018-02-16,22.366,84602718,22.1667,22.8747,22.1093,0.1154726688102893
2018-02-20,22.318,60089400,22.298,22.7227,22.1,0.0983584507042253
2018-02-21,22.22,48108726,22.402,22.6462,22.2113,0.0573251243781094
2018-02-22,23.078,104428148,22.3687,23.1627,22.3167,0.0914536423841059
2018-02-23,23.47,87212611,23.1887,23.666,23.14,0.1014809523809523
2018-02-26,23.828,65017467,23.5667,23.9333,23.4903,0.1005970588235294
2018-02-27,23.3993,71775294,23.75,23.9993,23.334,0.1123647058823529
2018-02-28,22.8707,90990615,23.5047,23.6827,22.8147,0.0582168639053254
2018-03-01,22.062,103088228,23.0007,23.2447,22.0047,0.0902461333333333
2018-03-02,22.3413,76331797,21.7987,22.348,21.5313,0.075811528150134
2018-03-05,22.2233,57310501,22.1593,22.5167,21.9529,0.0592863333333333
2018-03-06,21.88,63547213,22.25,22.4247,21.802,0.1763607142857142
